LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HP,Setting,CurveID,Valve,Type.1,Tag,Reject_Reason,Notes
P_RES1_T1,Pump,RES1,T1,0,2.469,0.000167,Open,0,1,nan,Curve_Franklin35GPM_1HP,nan,nan,Well ? T1,,
P_T1_M1,Pipe,T1,M1,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,T1 ? M1,,
P_PT1_SUC,Pipe,PT1,J_BP1_SUC,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""Pump suction header""",,
BP1,Pump,J_BP1_SUC,J_BP1_DIS,0,2.469,0.000167,Open,0,5,nan,Curve_Franklin_5FPDB1_2_6p625in,nan,nan,"""Booster pump""",,
P_DIS_M1,Pipe,J_BP1_DIS,M1,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""Pump discharge header""",,
P_SNT1_60_100,Pipe,J_SNT1_60,J_SNT1_160,100,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""SNT1 60?100 ft (to Valve V1)""",,
V1,Valve,J_V1_IN,J_V1_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,nan,"""FCV set to 20 gpm""",,
P_SNT1_160_200,Pipe,J_V1_OUT,J_SNT1_360,200,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""SNT1 160?200 ft""",,
V2,Valve,J_V2_IN,J_V2_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,nan,"""FCV set to 20 gpm""",,
P_SNT1_360_445,Pipe,J_SNT1_365,J_SNT1_445,85,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 360?85 ft (from Valve V2),,
P_SNT1445_CNT1,Pipe,J_SNT1_445,CNT1,15,1.029,0.000167,Open,nan,nan,nan,nan,nan,nan,"""15 ft Lateral @ ? CNT1""",,
P_SNT1_445_500,Pipe,J_SNT1_445,J_SNT1_500,55,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 445?55 ft,,
P_SNT1_500_CNT2,Pipe,J_SNT1_500,CNT2,40,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @40 ft ? CNT2""",,
P_SNT1_500_555,Pipe,J_SNT1_500,J_SNT1_555,55,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 500?55 ft,,
P_SNT1_555_CNT2,Pipe,J_SNT1_555,CNT3,40,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"Lateral @40 ft ? CNT3""",,
P_SNT1_555_-610,Pipe,J_SNT1_555,J_SNT1_610,55,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 555?55 ft,,
P_SNT1_610_CNT2,Pipe,J_SNT1_610,CNT4,40,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @40 ft ? CNT2""",,
P_SNT1_610_655,Pipe,J_SNT1_610,J_SNT1_655,45,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 610?45 ft,,
P_SNT1_655_BEND,Pipe,J_SNT1_655,J_SNT1_BEND,0,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""Seg: SNT1 ? 90ø bend""",,
P_SN1BEND_655_675,Pipe,J_SNT1_BEND,J_SNT1_675,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,"""Seg: 90ø bend ? SNT1 +20 ft""",,
P_SNT1_675_CNT5,Pipe,J_SNT1_675,CNT5,15,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @15 ft ? CNT5""",,
P_SNT1_675_715,Pipe,J_SNT1_675,J_SNT1_715,40,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 675?40 ft,,
P_SNT1_715_CNT6,Pipe,J_SNT1_715,CNT6,105,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @105 ft ? CNT6""",,
P_SNT1_715_765,Pipe,J_SNT1_715,J_SNT1_765,50,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 715?50 ft,,
P_SNT1_765_CNT7,Pipe,J_SNT1_765,CNT7,205,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @205 ft ? CNT7""",,
P_SNT1_765_845,Pipe,J_SNT1_765,J_SNT1_845,80,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 765?80 ft,,
V3,Valve,J_V3_IN,J_V3_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,nan,"""FCV set to 20 gpm""",,
P_SNT1_845_890,Pipe,J_SNT1_845,J_SNT1_890,45,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 845?45 ft,,
P_SNT1_890_CNT8,Pipe,J_SNT1_890,CNT8,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT8""",,
P_SNT1_890_910,Pipe,P_SNT1_890,J_SNT1_910,20,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 890?20 ft,,
P_SNT1_910_CNT9,Pipe,J_SNT1_910,CNT9,150,1.029,0.000167,Open,0,nan,nan,nan,nan,nan,"""Lateral @150 ft ? CNT9""",,
P_SNT1_910_966,Pipe,P_SNT1_910,J_SNT1_966,56,2.469,0.000167,Open,0,nan,nan,nan,nan,nan,SNT1 910?56 ft,,
