LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HP,Setting,CurveID,Valve  Type,Tag,Valve,Type.1,Reject_Reason,Notes,__sheet__
P_RES1_T1,Pump,RES1,T1,0,2.469,0.000167,Open,0,1,nan,Curve_Franklin35GPM_1HP,nan,Well → T1,,,,,Sheet1
P_T1_M1,Pipe,T1,M1,20,2.469,0.000167,Open,0,nan,nan,nan,nan,T1 → M1,,,,,Sheet1
P_PT1_SUC,Pipe,PT1,J_BP1_SUC,20,2.469,0.000167,Open,0,nan,nan,nan,nan,"""Pump suction header""",,,,,Sheet1
BP1,Pump,J_BP1_SUC,J_BP1_DIS,0,2.469,0.000167,Open,0,5,nan,Curve_Franklin_5FPDB1_2_6p625in,nan,"""Booster pump""",,,,,Sheet1
P_DIS_M1,Pipe,J_BP1_DIS,M1,20,2.469,0.000167,Open,0,nan,nan,nan,nan,"""Pump discharge header""",,,,,Sheet1
P_SNT1_60_100,Pipe,J_SNT1_60,J_SNT1_160,100,2.469,0.000167,Open,0,nan,nan,nan,nan,"""SNT1 60→100 ft (to Valve V1)""",,,,,Sheet1
V1,Valve,J_V1_IN,J_V1_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT1_160_200,Pipe,J_V1_OUT,J_SNT1_360,200,2.469,0.000167,Open,0,nan,nan,nan,nan,"""SNT1 160→200 ft""",,,,,Sheet1
V2,Valve,J_V2_IN,J_V2_OUT,0,2.469,0.000167,Open,0,nan,20,nan,FCV,"""FCV set to 20 gpm""",,,,Valve row missing Valve subtype (FCV/PRV/PSV/PBV/TCV/GPV),Sheet1
P_SNT1_360_445,Pipe,J_V2_OUT,J_SNT1_445,85,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 360→85 ft (from Valve V2),,,,,Sheet1
P_SNT1445_CNT1,Pipe,J_SNT1_445,CNT1,15,1.029,0.000167,Open,nan,nan,nan,nan,nan,"""15 ft Lateral @ → CNT1""",,,,,Sheet1
P_SNT1_445_500,Pipe,J_SNT1_445,J_SNT1_500,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 445→55 ft,,,,,Sheet1
P_SNT1_500_CNT2,Pipe,J_SNT1_500,CNT2,40,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @40 ft → CNT2""",,,,,Sheet1
P_SNT1_500_555,Pipe,J_SNT1_500,J_SNT1_555,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 500→55 ft,,,,,Sheet1
P_SNT1_555_CNT2,Pipe,J_SNT1_555,CNT3,40,1.029,0.000167,Open,0,nan,nan,nan,nan,"Lateral @40 ft → CNT3""",,,,,Sheet1
P_SNT1_555_-610,Pipe,J_SNT1_555,J_SNT1_610,55,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 555→55 ft,,,,,Sheet1
P_SNT1_610_CNT2,Pipe,J_SNT1_610,CNT4,40,1.029,0.000167,Open,0,nan,nan,nan,nan,"""Lateral @40 ft → CNT2""",,,,,Sheet1
P_SNT1_610_655,Pipe,J_SNT1_610,J_SNT1_655,45,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT1 610→45 ft,,,,,Sheet1
P_SNT1_655_BEND,Pipe,J_SNT1_655,J_SNT1_BEND,0,2.469,0.000167,Open,0,nan,nan,nan,nan,"""Seg: SNT1 → 90° bend""",,,,,Sheet1
