LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HP,Setting,CurveID,Valve  Type,Tag,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Valve,Type.1,Reject_Reason,Notes
P_SNT2_420_440,Pipe,J_SNT2_420,J_SNT2_440,20,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 420?20 ft,nan,nan,nan,nan,,,,
P_SNT2_440_CNT49,Pipe,J_SNT2_440,CNT49,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral ? CNT49,nan,nan,nan,nan,,,,
P_SNT2_440_475,Pipe,J_SNT2_440,J_SNT2_475,35,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 440?35 ft,nan,nan,nan,nan,,,,
P_SNT2_475_CNT50,Pipe,J_SNT2_475,CNT50,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral ? CNT50,nan,nan,nan,nan,,,,
P_SNT2_475_510,Pipe,J_SNT2_475,J_SNT2_510,35,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 475?35 ft,nan,nan,nan,nan,,,,
P_SNT2_510_CNT51,Pipe,J_SNT2_510,CNT51,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral ? CNT51,nan,nan,nan,nan,,,,
P_SNT2_510_545,Pipe,J_SNT2_510,J_SNT2_545,35,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 510?35 ft,nan,nan,nan,nan,,,,
P_SNT2_545_CNT52,Pipe,J_SNT2_545,CNT52,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral ? CNT52,nan,nan,nan,nan,,,,
P_SNT2_545_580,Pipe,J_SNT2_545,J_SNT2_580,35,2.469,0.000167,Open,0,nan,nan,nan,nan,SNT2 545?35 ft,nan,nan,nan,nan,,,,
P_SNT2_580_CNT53,Pipe,J_SNT2_580,CNT53,150,1.029,0.000167,Open,0,nan,nan,nan,nan,150 ft lateral ? CNT53,nan,nan,nan,nan,,,,
