Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_BP1_DIS  	0.0000          	58.2159         
Node J_BP1_DIS  	0.0333          	61.3796         
Node J_BP1_DIS  	0.0667          	57.1814         
Node J_BP1_DIS  	0.1000          	63.9338         
Node J_BP1_DIS  	0.1333          	54.4396         
Node J_BP1_DIS  	0.1667          	59.4976         
Node J_BP1_DIS  	0.2000          	51.5267         
Node J_BP1_DIS  	0.2333          	56.6439         
Node J_BP1_DIS  	0.2667          	60.8663         
Node J_BP1_DIS  	0.3000          	55.3472         
Node J_BP1_DIS  	0.3333          	56.4475         
Node J_BP1_DIS  	0.3667          	58.2905         
Node J_BP1_DIS  	0.4000          	58.1326         
Node J_BP1_DIS  	0.4333          	58.3223         
Node J_BP1_DIS  	0.4667          	58.3282         
Node J_BP1_DIS  	0.5000          	58.2147         
Node J_BP1_DIS  	0.5333          	58.1158         
Node J_BP1_DIS  	0.5667          	58.0293         
Node J_BP1_DIS  	0.6000          	57.8374         
Node J_BP1_DIS  	0.6333          	57.7500         
Node J_BP1_DIS  	0.6667          	57.6769         
Node J_BP1_DIS  	0.7000          	57.4967         
Node J_BP1_DIS  	0.7333          	57.4272         
Node J_BP1_DIS  	0.7667          	57.2469         
Node J_BP1_DIS  	0.8000          	57.0612         
Node J_BP1_DIS  	0.8333          	56.9997         
Node J_BP1_DIS  	0.8667          	56.8188         
Node J_BP1_DIS  	0.9000          	56.6448         
Node J_BP1_DIS  	0.9333          	56.4759         
Node J_BP1_DIS  	0.9667          	56.3159         
Node J_BP1_DIS  	1.0000          	56.1683         
Node J_BP1_DIS  	1.0333          	55.8944         
Node J_BP1_DIS  	1.0667          	55.5357         
Node J_BP1_DIS  	1.1000          	54.7012         
Node J_BP1_DIS  	1.1333          	56.7433         
Node J_BP1_DIS  	1.1667          	55.1730         
Node J_BP1_DIS  	1.2000          	56.4864         
Node J_BP1_DIS  	1.2333          	55.2387         
Node J_BP1_DIS  	1.2667          	54.6059         
Node J_BP1_DIS  	1.3000          	55.7633         
Node J_BP1_DIS  	1.3333          	55.1053         
Node J_BP1_DIS  	1.3667          	54.4584         
Node J_BP1_DIS  	1.4000          	55.4809         
Node J_BP1_DIS  	1.4333          	49.5876         
Node J_BP1_DIS  	1.4667          	57.4961         
Node J_BP1_DIS  	1.5000          	47.7782         
Node J_BP1_DIS  	1.5333          	57.4656         
Node J_BP1_DIS  	1.5667          	47.8197         
Node J_BP1_DIS  	1.6000          	57.5828         
Node J_BP1_DIS  	1.6333          	46.7051         
Node J_BP1_DIS  	1.6667          	57.7937         
Node J_BP1_DIS  	1.7000          	46.9648         
Node J_BP1_DIS  	1.7333          	57.7421         
Node J_BP1_DIS  	1.7667          	46.3594         
Node J_BP1_DIS  	1.8000          	57.6302         
Node J_BP1_DIS  	1.8333          	46.8811         
Node J_BP1_DIS  	1.8667          	57.2161         
Node J_BP1_DIS  	1.9000          	46.8983         
Node J_BP1_DIS  	1.9333          	57.1532         
Node J_BP1_DIS  	1.9667          	47.2300         
Node J_BP1_DIS  	2.0000          	54.4878         
Node J_CNT36    	0.0000          	57.4731         
Node J_CNT36    	0.0333          	56.4776         
Node J_CNT36    	0.0667          	54.4826         
Node J_CNT36    	0.1000          	62.9272         
Node J_CNT36    	0.1333          	49.8820         
Node J_CNT36    	0.1667          	56.9436         
Node J_CNT36    	0.2000          	50.7060         
Node J_CNT36    	0.2333          	55.4027         
Node J_CNT36    	0.2667          	55.1856         
Node J_CNT36    	0.3000          	54.7547         
Node J_CNT36    	0.3333          	55.5360         
Node J_CNT36    	0.3667          	58.0618         
Node J_CNT36    	0.4000          	59.0827         
