Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_BP1_DIS  	0.0000          	58.2159         
Node J_BP1_DIS  	0.0333          	60.6697         
Node J_BP1_DIS  	0.0667          	56.3787         
Node J_BP1_DIS  	0.1000          	62.1011         
Node J_BP1_DIS  	0.1333          	50.3256         
Node J_BP1_DIS  	0.1667          	63.2106         
Node J_BP1_DIS  	0.2000          	47.1137         
Node J_BP1_DIS  	0.2333          	59.7174         
Node J_BP1_DIS  	0.2667          	46.0298         
Node J_BP1_DIS  	0.3000          	58.9400         
Node J_BP1_DIS  	0.3333          	45.6790         
Node J_BP1_DIS  	0.3667          	58.3294         
Node J_BP1_DIS  	0.4000          	45.7253         
Node J_BP1_DIS  	0.4333          	54.2435         
Node J_BP1_DIS  	0.4667          	51.1625         
Node J_BP1_DIS  	0.5000          	51.7756         
Node J_BP1_DIS  	0.5333          	52.2520         
Node J_BP1_DIS  	0.5667          	49.9487         
Node J_BP1_DIS  	0.6000          	51.5526         
Node J_BP1_DIS  	0.6333          	49.1624         
Node J_BP1_DIS  	0.6667          	48.9174         
Node J_BP1_DIS  	0.7000          	48.5249         
Node J_BP1_DIS  	0.7333          	50.1874         
Node J_BP1_DIS  	0.7667          	47.9346         
Node J_BP1_DIS  	0.8000          	49.9658         
Node J_BP1_DIS  	0.8333          	47.8104         
Node J_BP1_DIS  	0.8667          	49.7038         
Node J_BP1_DIS  	0.9000          	47.5583         
Node J_BP1_DIS  	0.9333          	49.4845         
Node J_BP1_DIS  	0.9667          	47.2913         
Node J_BP1_DIS  	1.0000          	49.2392         
Node J_BP1_DIS  	1.0333          	47.0042         
Node J_BP1_DIS  	1.0667          	48.9718         
Node J_BP1_DIS  	1.1000          	46.8573         
Node J_BP1_DIS  	1.1333          	48.7522         
Node J_BP1_DIS  	1.1667          	46.5795         
Node J_BP1_DIS  	1.2000          	48.5170         
Node J_BP1_DIS  	1.2333          	46.2828         
Node J_BP1_DIS  	1.2667          	48.2476         
