Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_BP1_DIS  	0.0000          	58.2159         
Node J_BP1_DIS  	0.0333          	60.8484         
Node J_BP1_DIS  	0.0667          	56.5663         
Node J_BP1_DIS  	0.1000          	62.4478         
Node J_BP1_DIS  	0.1333          	51.4097         
Node J_BP1_DIS  	0.1667          	61.8985         
Node J_BP1_DIS  	0.2000          	48.3832         
Node J_BP1_DIS  	0.2333          	59.4982         
Node J_BP1_DIS  	0.2667          	47.1038         
Node J_BP1_DIS  	0.3000          	58.7618         
Node J_BP1_DIS  	0.3333          	46.8608         
Node J_BP1_DIS  	0.3667          	58.4209         
Node J_BP1_DIS  	0.4000          	46.4727         
Node J_BP1_DIS  	0.4333          	58.0588         
Node J_BP1_DIS  	0.4667          	45.7514         
Node J_BP1_DIS  	0.5000          	57.6800         
Node J_BP1_DIS  	0.5333          	49.1096         
Node J_BP1_DIS  	0.5667          	52.0851         
Node J_BP1_DIS  	0.6000          	50.9572         
Node J_BP1_DIS  	0.6333          	54.3923         
Node J_BP1_DIS  	0.6667          	42.5502         
Node J_BP1_DIS  	0.7000          	55.8965         
Node J_BP1_DIS  	0.7333          	41.8750         
Node J_BP1_DIS  	0.7667          	55.1930         
Node J_BP1_DIS  	0.8000          	43.6528         
Node J_BP1_DIS  	0.8333          	50.1150         
Node J_BP1_DIS  	0.8667          	49.4522         
Node J_BP1_DIS  	0.9000          	51.6744         
Node J_BP1_DIS  	0.9333          	49.5416         
Node J_BP1_DIS  	0.9667          	51.5431         
Node J_BP1_DIS  	1.0000          	49.4578         
Node J_BP1_DIS  	1.0333          	51.5590         
Node J_BP1_DIS  	1.0667          	49.4448         
Node J_BP1_DIS  	1.1000          	51.5247         
Node J_BP1_DIS  	1.1333          	49.4347         
Node J_BP1_DIS  	1.1667          	51.5079         
Node J_BP1_DIS  	1.2000          	49.4280         
Node J_BP1_DIS  	1.2333          	51.4971         
Node J_BP1_DIS  	1.2667          	49.4231         
Node J_BP1_DIS  	1.3000          	51.4896         
Node J_BP1_DIS  	1.3333          	49.4193         
Node J_BP1_DIS  	1.3667          	51.4840         
Node J_BP1_DIS  	1.4000          	49.4163         
Node J_BP1_DIS  	1.4333          	51.4797         
Node J_BP1_DIS  	1.4667          	49.4140         
Node J_BP1_DIS  	1.5000          	51.4763         
