Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_SNT1_160 	0.0000          	50.3208         
Node J_SNT1_160 	0.0333          	48.3106         
Node J_SNT1_160 	0.0667          	45.8507         
Node J_SNT1_160 	0.1000          	54.0108         
Node J_SNT1_160 	0.1333          	48.9360         
Node J_SNT1_160 	0.1667          	45.9624         
Node J_SNT1_160 	0.2000          	42.6884         
Node J_SNT1_160 	0.2333          	54.9788         
Node J_SNT1_160 	0.2667          	44.4737         
Node J_SNT1_160 	0.3000          	33.3111         
Node J_SNT1_160 	0.3333          	37.1433         
Node J_SNT1_160 	0.3667          	48.5979         
Node J_SNT1_160 	0.4000          	50.1210         
Node J_SNT1_160 	0.4333          	39.6302         
Node J_SNT1_160 	0.4667          	47.1000         
Node J_SNT1_160 	0.5000          	46.0432         
Node J_SNT1_160 	0.5333          	32.1536         
Node J_SNT1_160 	0.5667          	31.1343         
Node J_SNT1_160 	0.6000          	50.1694         
Node J_SNT1_160 	0.6333          	43.2168         
Node J_SNT1_160 	0.6667          	24.6889         
Node J_SNT1_160 	0.7000          	28.9247         
Node J_SNT1_160 	0.7333          	49.2232         
Node J_SNT1_160 	0.7667          	42.1916         
Node J_SNT1_160 	0.8000          	19.8967         
Node J_SNT1_160 	0.8333          	28.2112         
Node J_SNT1_160 	0.8667          	52.0033         
Node J_SNT1_160 	0.9000          	39.0884         
Node J_SNT1_160 	0.9333          	20.3177         
Node J_SNT1_160 	0.9667          	26.4702         
Node J_SNT1_160 	1.0000          	51.4923         
Node J_SNT1_160 	1.0333          	38.0002         
Node J_SNT1_160 	1.0667          	21.0197         
Node J_SNT1_160 	1.1000          	25.3352         
Node J_SNT1_160 	1.1333          	52.2968         
Node J_SNT1_160 	1.1667          	35.7487         
Node J_SNT1_160 	1.2000          	29.5592         
Node J_SNT1_160 	1.2333          	23.3494         
Node J_SNT1_160 	1.2667          	53.0929         
Node J_SNT1_160 	1.3000          	32.0942         
Node J_SNT1_160 	1.3333          	23.1971         
Node J_SNT1_160 	1.3667          	50.6179         
Node J_SNT1_160 	1.4000          	30.6682         
Node J_SNT1_160 	1.4333          	21.8180         
Node J_SNT1_160 	1.4667          	48.1292         
Node J_SNT1_160 	1.5000          	28.7364         
Node J_SNT1_160 	1.5333          	21.2380         
Node J_SNT1_160 	1.5667          	46.0417         
Node J_SNT1_160 	1.6000          	26.8985         
Node J_SNT1_160 	1.6333          	21.4835         
Node J_SNT1_160 	1.6667          	44.4128         
Node J_SNT1_160 	1.7000          	25.1337         
Node J_SNT1_160 	1.7333          	22.3632         
Node J_SNT1_160 	1.7667          	43.8515         
Node J_SNT1_160 	1.8000          	23.9258         
Node J_SNT1_160 	1.8333          	23.6991         
Node J_SNT1_160 	1.8667          	45.4077         
Node J_SNT1_160 	1.9000          	23.1787         
Node J_SNT1_160 	1.9333          	25.6591         
Node J_SNT1_160 	1.9667          	48.1786         
Node J_SNT1_160 	2.0000          	22.5491         
Node J_CNT36    	0.0000          	-1514211.6250   
Node J_CNT36    	0.0333          	-1514243.1250   
Node J_CNT36    	0.0667          	-1514248.5000   
Node J_CNT36    	0.1000          	-1514198.6250   
Node J_CNT36    	0.1333          	-1514224.1250   
Node J_CNT36    	0.1667          	-1514222.2500   
Node J_CNT36    	0.2000          	-1514243.5000   
Node J_CNT36    	0.2333          	-1514185.0000   
