Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_BP1_DIS  	0.0000          	57.7808         
Node J_BP1_DIS  	0.0333          	59.9737         
Node J_BP1_DIS  	0.0667          	56.3066         
Node J_BP1_DIS  	0.1000          	59.7952         
Node J_BP1_DIS  	0.1333          	57.7191         
Node J_BP1_DIS  	0.1667          	55.0279         
Node J_BP1_DIS  	0.2000          	54.7061         
Node J_BP1_DIS  	0.2333          	54.1312         
Node J_BP1_DIS  	0.2667          	54.0732         
Node J_BP1_DIS  	0.3000          	53.0584         
Node J_BP1_DIS  	0.3333          	54.9970         
Node J_BP1_DIS  	0.3667          	51.8193         
Node J_BP1_DIS  	0.4000          	51.9416         
Node J_BP1_DIS  	0.4333          	51.1509         
Node J_BP1_DIS  	0.4667          	54.5420         
Node J_BP1_DIS  	0.5000          	52.5607         
Node J_BP1_DIS  	0.5333          	50.8097         
Node J_BP1_DIS  	0.5667          	52.3072         
Node J_BP1_DIS  	0.6000          	49.8078         
Node J_BP1_DIS  	0.6333          	49.4348         
Node J_BP1_DIS  	0.6667          	51.3829         
Node J_BP1_DIS  	0.7000          	49.8234         
Node J_BP1_DIS  	0.7333          	48.8189         
Node J_BP1_DIS  	0.7667          	48.2346         
Node J_BP1_DIS  	0.8000          	49.6103         
Node J_BP1_DIS  	0.8333          	48.8008         
Node J_BP1_DIS  	0.8667          	47.8458         
Node J_BP1_DIS  	0.9000          	47.3210         
Node J_BP1_DIS  	0.9333          	49.1324         
Node J_BP1_DIS  	0.9667          	48.3224         
Node J_BP1_DIS  	1.0000          	47.3466         
Node J_BP1_DIS  	1.0333          	46.8485         
Node J_BP1_DIS  	1.0667          	48.8204         
Node J_BP1_DIS  	1.1000          	47.8240         
Node J_BP1_DIS  	1.1333          	46.8553         
Node J_BP1_DIS  	1.1667          	46.4265         
Node J_BP1_DIS  	1.2000          	48.5066         
Node J_BP1_DIS  	1.2333          	47.2762         
Node J_BP1_DIS  	1.2667          	46.2854         
Node J_BP1_DIS  	1.3000          	45.9780         
Node J_BP1_DIS  	1.3333          	47.9938         
Node J_BP1_DIS  	1.3667          	45.8617         
Node J_BP1_DIS  	1.4000          	45.8964         
Node J_BP1_DIS  	1.4333          	44.9827         
Node J_BP1_DIS  	1.4667          	47.4311         
Node J_BP1_DIS  	1.5000          	45.6709         
Node J_BP1_DIS  	1.5333          	45.3533         
Node J_BP1_DIS  	1.5667          	44.5910         
Node J_BP1_DIS  	1.6000          	47.1731         
Node J_BP1_DIS  	1.6333          	45.0506         
Node J_BP1_DIS  	1.6667          	45.3875         
Node J_BP1_DIS  	1.7000          	44.1224         
Node J_BP1_DIS  	1.7333          	46.6124         
Node J_BP1_DIS  	1.7667          	43.9830         
Node J_BP1_DIS  	1.8000          	45.6504         
Node J_BP1_DIS  	1.8333          	43.1585         
Node J_BP1_DIS  	1.8667          	45.9426         
Node J_BP1_DIS  	1.9000          	43.2048         
Node J_BP1_DIS  	1.9333          	40.8092         
Node J_BP1_DIS  	1.9667          	48.3793         
Node J_BP1_DIS  	2.0000          	43.5055         
Node J_CNT36    	0.0000          	-429806.1250    
Node J_CNT36    	0.0333          	-429806.1250    
Node J_CNT36    	0.0667          	-429808.9375    
Node J_CNT36    	0.1000          	-429814.0938    
Node J_CNT36    	0.1333          	-429802.1250    
Node J_CNT36    	0.1667          	-429819.4063    
Node J_CNT36    	0.2000          	-429822.9375    
Node J_CNT36    	0.2333          	-429810.4375    
Node J_CNT36    	0.2667          	-429810.4375    
Node J_CNT36    	0.3000          	-429815.8750    
Node J_CNT36    	0.3333          	-429799.3750    
Node J_CNT36    	0.3667          	-429824.9063    
Node J_CNT36    	0.4000          	-429824.5625    
Node J_CNT36    	0.4333          	-429827.8750    
Node J_CNT36    	0.4667          	-429802.8125    
Node J_CNT36    	0.5000          	-429813.5625    
Node J_CNT36    	0.5333          	-429809.8125    
Node J_CNT36    	0.5667          	-429803.6563    
Node J_CNT36    	0.6000          	-429821.1563    
Node J_CNT36    	0.6333          	-429805.2500    
Node J_CNT36    	0.6667          	-429805.1250    
Node J_CNT36    	0.7000          	-429823.5625    
Node J_CNT36    	0.7333          	-429838.3125    
Node J_CNT36    	0.7667          	-429838.8125    
Node J_CNT36    	0.8000          	-429819.5000    
Node J_CNT36    	0.8333          	-429818.2500    
Node J_CNT36    	0.8667          	-429828.5000    
Node J_CNT36    	0.9000          	-429829.1875    
Node J_CNT36    	0.9333          	-429814.8438    
Node J_CNT36    	0.9667          	-429807.7500    
Node J_CNT36    	1.0000          	-429836.6875    
Node J_CNT36    	1.0333          	-429831.8750    
Node J_CNT36    	1.0667          	-429820.0313    
Node J_CNT36    	1.1000          	-429818.8125    
Node J_CNT36    	1.1333          	-429841.6875    
Node J_CNT36    	1.1667          	-429849.0000    
Node J_CNT36    	1.2000          	-429809.2813    
Node J_CNT36    	1.2333          	-429831.0625    
Node J_CNT36    	1.2667          	-429839.0313    
Node J_CNT36    	1.3000          	-429831.7188    
Node J_CNT36    	1.3333          	-429807.9688    
Node J_CNT36    	1.3667          	-429831.7188    
Node J_CNT36    	1.4000          	-429824.7188    
Node J_CNT36    	1.4333          	-429838.9375    
Node J_CNT36    	1.4667          	-429792.6563    
Node J_CNT36    	1.5000          	-429811.8750    
Node J_CNT36    	1.5333          	-429842.6875    
Node J_CNT36    	1.5667          	-429828.2500    
Node J_CNT36    	1.6000          	-429810.2188    
Node J_CNT36    	1.6333          	-429818.8750    
Node J_CNT36    	1.6667          	-429844.6875    
Node J_CNT36    	1.7000          	-429834.7500    
Node J_CNT36    	1.7333          	-429799.0000    
Node J_CNT36    	1.7667          	-429811.6250    
Node J_CNT36    	1.8000          	-429825.5313    
Node J_CNT36    	1.8333          	-429831.7500    
Node J_CNT36    	1.8667          	-429808.1563    
Node J_CNT36    	1.9000          	-429836.5938    
Node J_CNT36    	1.9333          	-429839.0313    
Node J_CNT36    	1.9667          	-429817.7813    
Node J_CNT36    	2.0000          	-429826.5313    
Node J_CNT41    	0.0000          	55.3688         
Node J_CNT41    	0.0333          	53.8037         
Node J_CNT41    	0.0667          	51.7292         
Node J_CNT41    	0.1000          	57.3415         
Node J_CNT41    	0.1333          	55.7565         
Node J_CNT41    	0.1667          	53.8464         
Node J_CNT41    	0.2000          	52.1991         
Node J_CNT41    	0.2333          	45.8828         
Node J_CNT41    	0.2667          	53.0820         
Node J_CNT41    	0.3000          	47.5186         
Node J_CNT41    	0.3333          	57.0512         
Node J_CNT41    	0.3667          	48.4824         
Node J_CNT41    	0.4000          	41.0952         
Node J_CNT41    	0.4333          	46.7046         
Node J_CNT41    	0.4667          	59.1532         
Node J_CNT41    	0.5000          	55.5095         
Node J_CNT41    	0.5333          	45.7790         
Node J_CNT41    	0.5667          	54.5631         
Node J_CNT41    	0.6000          	42.2008         
Node J_CNT41    	0.6333          	41.5772         
Node J_CNT41    	0.6667          	60.9852         
Node J_CNT41    	0.7000          	50.5256         
Node J_CNT41    	0.7333          	36.1961         
Node J_CNT41    	0.7667          	35.8737         
Node J_CNT41    	0.8000          	54.4574         
Node J_CNT41    	0.8333          	49.0089         
Node J_CNT41    	0.8667          	31.8391         
Node J_CNT41    	0.9000          	34.4054         
Node J_CNT41    	0.9333          	53.5883         
Node J_CNT41    	0.9667          	48.3852         
Node J_CNT41    	1.0000          	29.6492         
Node J_CNT41    	1.0333          	34.0221         
Node J_CNT41    	1.0667          	53.9254         
Node J_CNT41    	1.1000          	47.6045         
Node J_CNT41    	1.1333          	26.9438         
Node J_CNT41    	1.1667          	33.6840         
Node J_CNT41    	1.2000          	54.6730         
Node J_CNT41    	1.2333          	46.7206         
Node J_CNT41    	1.2667          	23.1418         
Node J_CNT41    	1.3000          	33.7393         
Node J_CNT41    	1.3333          	58.3658         
Node J_CNT41    	1.3667          	43.7583         
Node J_CNT41    	1.4000          	26.4241         
Node J_CNT41    	1.4333          	31.5601         
Node J_CNT41    	1.4667          	55.7437         
Node J_CNT41    	1.5000          	44.1117         
Node J_CNT41    	1.5333          	24.9361         
Node J_CNT41    	1.5667          	31.4031         
Node J_CNT41    	1.6000          	56.5648         
Node J_CNT41    	1.6333          	42.7656         
Node J_CNT41    	1.6667          	27.6634         
Node J_CNT41    	1.7000          	30.4084         
Node J_CNT41    	1.7333          	57.8037         
Node J_CNT41    	1.7667          	40.9381         
Node J_CNT41    	1.8000          	32.6172         
Node J_CNT41    	1.8333          	28.9425         
Node J_CNT41    	1.8667          	58.6428         
Node J_CNT41    	1.9000          	38.4963         
Node J_CNT41    	1.9333          	31.4737         
Node J_CNT41    	1.9667          	59.7079         
Node J_CNT41    	2.0000          	36.9995         
Node J_CNT80    	0.0000          	53.5207         
Node J_CNT80    	0.0333          	51.9555         
Node J_CNT80    	0.0667          	49.8810         
Node J_CNT80    	0.1000          	55.4934         
Node J_CNT80    	0.1333          	53.9083         
Node J_CNT80    	0.1667          	51.9982         
Node J_CNT80    	0.2000          	50.3509         
Node J_CNT80    	0.2333          	44.0347         
Node J_CNT80    	0.2667          	51.2338         
Node J_CNT80    	0.3000          	45.6704         
Node J_CNT80    	0.3333          	55.2030         
Node J_CNT80    	0.3667          	46.6343         
Node J_CNT80    	0.4000          	39.2471         
Node J_CNT80    	0.4333          	44.8564         
Node J_CNT80    	0.4667          	57.3051         
Node J_CNT80    	0.5000          	53.6613         
Node J_CNT80    	0.5333          	43.9308         
Node J_CNT80    	0.5667          	52.7149         
Node J_CNT80    	0.6000          	40.3527         
Node J_CNT80    	0.6333          	39.7290         
Node J_CNT80    	0.6667          	59.1370         
Node J_CNT80    	0.7000          	48.6774         
Node J_CNT80    	0.7333          	34.3480         
Node J_CNT80    	0.7667          	34.0256         
Node J_CNT80    	0.8000          	52.6092         
Node J_CNT80    	0.8333          	47.1607         
Node J_CNT80    	0.8667          	29.9910         
Node J_CNT80    	0.9000          	32.5573         
Node J_CNT80    	0.9333          	51.7402         
Node J_CNT80    	0.9667          	46.5371         
Node J_CNT80    	1.0000          	27.8010         
Node J_CNT80    	1.0333          	32.1740         
Node J_CNT80    	1.0667          	52.0772         
Node J_CNT80    	1.1000          	45.7563         
Node J_CNT80    	1.1333          	25.0957         
Node J_CNT80    	1.1667          	31.8358         
Node J_CNT80    	1.2000          	52.8249         
Node J_CNT80    	1.2333          	44.8725         
Node J_CNT80    	1.2667          	21.2936         
Node J_CNT80    	1.3000          	31.8912         
Node J_CNT80    	1.3333          	56.5176         
Node J_CNT80    	1.3667          	41.9101         
Node J_CNT80    	1.4000          	24.5760         
Node J_CNT80    	1.4333          	29.7119         
Node J_CNT80    	1.4667          	53.8955         
Node J_CNT80    	1.5000          	42.2635         
Node J_CNT80    	1.5333          	23.0880         
Node J_CNT80    	1.5667          	29.5550         
Node J_CNT80    	1.6000          	54.7167         
Node J_CNT80    	1.6333          	40.9174         
Node J_CNT80    	1.6667          	25.8152         
Node J_CNT80    	1.7000          	28.5602         
Node J_CNT80    	1.7333          	55.9555         
Node J_CNT80    	1.7667          	39.0900         
Node J_CNT80    	1.8000          	30.7691         
Node J_CNT80    	1.8333          	27.0943         
Node J_CNT80    	1.8667          	56.7946         
Node J_CNT80    	1.9000          	36.6481         
Node J_CNT80    	1.9333          	29.6255         
Node J_CNT80    	1.9667          	57.8597         
Node J_CNT80    	2.0000          	35.1514         
