Los Botines Vaquero Village - Water Distribution System
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_BP1_DIS  	0.0000          	58.1112         
Node J_BP1_DIS  	0.0333          	61.1418         
Node J_BP1_DIS  	0.0667          	56.7861         
Node J_BP1_DIS  	0.1000          	63.9590         
Node J_BP1_DIS  	0.1333          	53.9407         
Node J_BP1_DIS  	0.1667          	60.2145         
Node J_BP1_DIS  	0.2000          	51.3631         
Node J_BP1_DIS  	0.2333          	59.2425         
Node J_BP1_DIS  	0.2667          	50.4663         
Node J_BP1_DIS  	0.3000          	57.9588         
Node J_BP1_DIS  	0.3333          	52.4340         
Node J_BP1_DIS  	0.3667          	62.8440         
Node J_BP1_DIS  	0.4000          	51.4319         
Node J_BP1_DIS  	0.4333          	62.8640         
Node J_BP1_DIS  	0.4667          	50.9416         
Node J_BP1_DIS  	0.5000          	62.9907         
Node J_BP1_DIS  	0.5333          	50.3960         
Node J_BP1_DIS  	0.5667          	62.6939         
Node J_BP1_DIS  	0.6000          	49.8540         
Node J_BP1_DIS  	0.6333          	61.3713         
Node J_BP1_DIS  	0.6667          	49.5895         
Node J_BP1_DIS  	0.7000          	57.2885         
Node J_BP1_DIS  	0.7333          	51.1218         
Node J_BP1_DIS  	0.7667          	56.1521         
Node J_BP1_DIS  	0.8000          	55.9867         
Node J_BP1_DIS  	0.8333          	56.2249         
Node J_BP1_DIS  	0.8667          	56.3397         
Node J_BP1_DIS  	0.9000          	56.2192         
Node J_BP1_DIS  	0.9333          	55.6604         
Node J_BP1_DIS  	0.9667          	55.9627         
Node J_BP1_DIS  	1.0000          	57.1885         
Node J_BP1_DIS  	1.0333          	56.0110         
Node J_BP1_DIS  	1.0667          	55.6929         
Node J_BP1_DIS  	1.1000          	55.1860         
Node J_BP1_DIS  	1.1333          	55.5812         
Node J_BP1_DIS  	1.1667          	56.9200         
Node J_BP1_DIS  	1.2000          	55.3451         
Node J_BP1_DIS  	1.2333          	54.7231         
Node J_BP1_DIS  	1.2667          	55.4645         
Node J_BP1_DIS  	1.3000          	55.4364         
Node J_BP1_DIS  	1.3333          	54.6014         
Node J_BP1_DIS  	1.3667          	54.8067         
Node J_BP1_DIS  	1.4000          	55.9905         
Node J_BP1_DIS  	1.4333          	54.4532         
Node J_BP1_DIS  	1.4667          	54.3933         
Node J_BP1_DIS  	1.5000          	55.5971         
Node J_BP1_DIS  	1.5333          	54.0994         
Node J_BP1_DIS  	1.5667          	54.4243         
Node J_BP1_DIS  	1.6000          	55.6782         
Node J_BP1_DIS  	1.6333          	53.6033         
Node J_BP1_DIS  	1.6667          	54.4123         
Node J_BP1_DIS  	1.7000          	54.3641         
Node J_BP1_DIS  	1.7333          	52.7810         
Node J_BP1_DIS  	1.7667          	54.4233         
Node J_BP1_DIS  	1.8000          	53.4701         
Node J_BP1_DIS  	1.8333          	53.7963         
Node J_BP1_DIS  	1.8667          	54.3354         
Node J_BP1_DIS  	1.9000          	52.3074         
Node J_BP1_DIS  	1.9333          	53.9986         
Node J_BP1_DIS  	1.9667          	53.1678         
Node J_BP1_DIS  	2.0000          	53.2715         
Node J_CNT36    	0.0000          	57.4731         
