LinkID,Type,NodeID1,NodeID2,Length_ft,Diameter_in,Roughness,InitialStatus,MinorLoss_K,Power_HJ,Setting,CurveID,Valve  Type,Tag
J_RES1_T1,Pipie,RES1,T1,10,2.469,0.000167,Open,0,1,,Curve_Franklin35GJM_1HJ,,Well ? T1
J_T1_M1,Pipe,T1,M1,20,2.469,0.000167,Open,0,,,,,T1 ? M1
J_T1_SUC,Pipe,J_T1_SUC,J_BP1_SUC,20,2.469,0.000167,Open,0,,,,,"""Pipie suction header"""
J_BP1,Pipie,J_BP1_SUC,J_BP1_DIS,10,2.469,0.000167,Open,0,5,,Curve_Franklin_5FJDB1_2_6J625in,,"""Booster Pipie"""
J_DIS_M1,Pipe,J_BJ1_DIS,M1,20,2.469,0.000167,Open,0,,,,,"""Pipie discharge header"""
J_SNT1_60_100,Pipe,J_SNT1_60,J_SNT1_160,100,2.469,0.000167,Open,0,,,,,"""SNT1 60?100 ft (to Valve V1)"""
J_SNT1_V1_IN_160,Pipe,J_SNT1_160,J_V1_IN_160,1,2.469,0.000167,Open,0,,,,,Stub into V1 (no added length)
V1,Valve,J_V1_IN_160,J_V1_OUT_160,0,2.469,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm"""
J_SNT1_V1_OUT_160_200,Pipe,J_V1_OUT_160,J_SNT1_360,200,2.469,0.000167,Open,0,,,,,"""SNT1 160?200 ft"""
J_SNT1_V2_IN_360,Pipe,J_SNT1_360,J_V2_IN_360,0,2.469,0.000167,Open,0,,,,,Stub into V1 (no added length)
V2,Valve,J_V2_IN_360,J_V2_OUT_360,0,2.469,0.000167,Open,0,,20,,FCV,"""FCV set to 20 gJm"""
J_SNT1_V2_OUT_360_445,Pipe,J_V2_OUT_360,J_SNT1_445,85,2.469,0.000167,Open,0,,,,,SNT1 360?85 ft (from Valve V2)
J_SNT1_445_CNT1,Pipe,J_SNT1_445,J_CNT1,15,1.029,0.000167,Open,0,,,,,"""15 ft Lateral @ ? CNT1"""
J_SNT1_445_500,Pipe,J_SNT1_445,J_SNT1_500,55,2.469,0.000167,Open,0,,,,,SNT1 445?55 ft
J_SNT1_500_CNT2,Pipe,J_SNT1_500,J_CNT2,40,1.029,0.000167,Open,0,,,,,"""Lateral @40 ft ? CNT2"""
J_SNT1_500_555,Pipe,J_SNT1_500,J_SNT1_555,55,2.469,0.000167,Open,0,,,,,SNT1 500?55 ft
J_SNT1_555_CNT3,Pipe,J_SNT1_555,J_CNT3,40,1.029,0.000167,Open,0,,,,,"Lateral @40 ft ? CNT3"""
J_SNT1_555_610,Pipe,J_SNT1_555,J_SNT1_610,55,2.469,0.000167,Open,0,,,,,SNT1 555?55 ft
J_SNT1_610_CNT4,Pipe,J_SNT1_610,J_CNT4,40,1.029,0.000167,Open,0,,,,,"""Lateral @40 ft ? CNT4"""
J_SNT1_610_655,Pipe,J_SNT1_610,J_SNT1_655,45,2.469,0.000167,Open,0,,,,,SNT1 610?45 ft
J_SNT1_655_BEND_IN,Pipe,J_SNT1_655,J_SNT1_BEND_IN,1,2.469,0.000167,Open,0,,,,,"""Seg: SNT1 ? 90° bend"""
J_SNT1_655_BEND_OUT,Pipe,J_SNT1_BEND_IN,J_SNT1_BEND_OUT,1,2.469,0.000167,Open,0,,,,,"""Seg: SNT1 ? 90° bend"""
J_SNT1_655_675,Pipe,J_SNT1_655,J_SNT1_675,20,2.469,0.000167,Open,0,,,,,"""Seg: 90° bend ? SNT1 +20 ft"""
J_SNT1_675_CNT5,Pipe,J_SNT1_675,J_CNT5,15,1.029,0.000167,Open,0,,,,,"""Lateral @15 ft ? CNT5"""
J_SNT1_675_715,Pipe,J_SNT1_675,J_SNT1_715,40,2.469,0.000167,Open,0,,,,,SNT1 675?40 ft
J_SNT1_715_CNT6,Pipe,J_SNT1_715,J_CNT6,105,1.029,0.000167,Open,0,,,,,"""Lateral @105 ft ? CNT6"""
