Time (min),Pressure (psi),Flow Rate (GPM)
0.0,60.0,40.0
2.5,50.62,40.0
5.0,41.25,40.0
7.5,31.87,40.0
10.0,34.33,20.0
12.5,32.11,20.0
15.0,29.89,20.0
17.5,27.67,20.0
20.0,25.45,20.0
22.5,23.23,20.0
25.0,21.01,20.0
27.5,18.79,20.0
32.5,14.35,0.0
35.0,12.13,0.0
37.5,9.9,0.0
40.0,7.68,0.0
42.5,5.46,0.0
45.0,3.24,0.0
47.5,1.02,0.0
50.0,-1.2,0.0
52.5,-3.42,0.0
55.0,-5.64,0.0
57.5,-7.86,0.0
60.0,-10.08,0.0
62.5,-12.3,0.0
65.0,-14.52,0.0
67.5,-16.74,0.0
70.0,-18.96,0.0
72.5,-21.18,0.0
75.0,-23.4,0.0
77.5,-25.62,0.0
80.0,-27.84,0.0
82.5,-30.06,0.0
85.0,-32.28,0.0
87.5,-34.5,0.0
90.0,-36.72,0.0
92.5,-38.94,0.0
95.0,-41.16,0.0
97.5,-43.38,0.0
100.0,-45.61,0.0
102.5,-47.83,0.0
105.0,-50.05,0.0
107.5,-52.27,0.0
110.0,-54.49,0.0
112.5,-56.71,0.0
115.0,-58.93,0.0
117.5,-61.15,0.0
120.0,-63.37,0.0
