Time (min),System Pressure (psi),Booster Mode,Pressure Tank Volume (gal),Storage Tank Volume (gal)
0,60.0,Off,1250.0,5800.0
3,58.9,Off,1220.0,5800.0
6,57.8,Off,1190.0,5800.0
9,56.699999999999996,Off,1160.0,5800.0
12,55.599999999999994,Off,1130.0,5800.0
15,54.49999999999999,Off,1100.0,5800.0
18,53.39999999999999,Off,1070.0,5800.0
21,52.29999999999999,Off,1040.0,5800.0
24,51.19999999999999,Off,1010.0,5800.0
27,50.09999999999999,Off,980.0,5800.0
30,48.999999999999986,Off,950.0,5800.0
33,47.899999999999984,Off,920.0,5800.0
36,46.79999999999998,Off,890.0,5800.0
39,45.69999999999998,Off,860.0,5800.0
42,44.59999999999998,Single,890.0,5800.0
45,46.09999999999998,Single,920.0,5800.0
48,47.59999999999998,Single,950.0,5800.0
51,49.09999999999998,Single,980.0,5800.0
54,50.59999999999998,Single,1010.0,5800.0
57,52.09999999999998,Single,1040.0,5800.0
60,53.59999999999998,Single,1070.0,5800.0
63,55.09999999999998,Single,1100.0,5800.0
66,55.0,Off,1070.0,5800.0
69,53.9,Off,1040.0,5800.0
72,52.8,Off,1010.0,5800.0
75,51.699999999999996,Off,980.0,5800.0
78,50.599999999999994,Off,950.0,5800.0
81,49.49999999999999,Off,920.0,5800.0
84,48.39999999999999,Off,890.0,5800.0
87,47.29999999999999,Off,860.0,5800.0
90,46.19999999999999,Off,830.0,5800.0
93,45.09999999999999,Off,800.0,5800.0
96,43.999999999999986,Single,830.0,5800.0
99,45.499999999999986,Single,860.0,5800.0
102,46.999999999999986,Single,890.0,5800.0
105,48.499999999999986,Single,920.0,5800.0
108,49.999999999999986,Single,950.0,5800.0
111,51.499999999999986,Single,980.0,5800.0
114,52.999999999999986,Single,1010.0,5800.0
117,54.499999999999986,Single,1040.0,5800.0
120,55.999999999999986,Single,1070.0,5800.0
123,55.0,Off,1040.0,5800.0
126,53.9,Off,1010.0,5800.0
129,52.8,Off,980.0,5800.0
132,51.699999999999996,Off,950.0,5800.0
135,50.599999999999994,Off,920.0,5800.0
138,49.49999999999999,Off,890.0,5800.0
141,48.39999999999999,Off,860.0,5800.0
144,47.29999999999999,Off,830.0,5800.0
147,46.19999999999999,Off,800.0,5800.0
150,45.09999999999999,Off,770.0,5800.0
153,43.999999999999986,Single,800.0,5800.0
156,45.499999999999986,Single,830.0,5800.0
159,46.999999999999986,Single,860.0,5800.0
162,48.499999999999986,Single,890.0,5800.0
165,49.999999999999986,Single,920.0,5800.0
168,51.499999999999986,Single,950.0,5800.0
171,52.999999999999986,Single,980.0,5800.0
174,54.499999999999986,Single,1010.0,5800.0
177,55.999999999999986,Single,1040.0,5800.0
180,55.0,Off,1010.0,5800.0
183,53.9,Off,980.0,5800.0
186,52.8,Off,950.0,5800.0
189,51.699999999999996,Off,920.0,5800.0
192,50.599999999999994,Off,890.0,5800.0
195,49.49999999999999,Off,860.0,5800.0
198,48.39999999999999,Off,830.0,5800.0
201,47.29999999999999,Off,800.0,5800.0
204,46.19999999999999,Off,770.0,5800.0
207,45.09999999999999,Off,740.0,5800.0
210,43.999999999999986,Single,770.0,5800.0
213,45.499999999999986,Single,800.0,5800.0
216,46.999999999999986,Single,830.0,5800.0
219,48.499999999999986,Single,860.0,5800.0
222,49.999999999999986,Single,890.0,5800.0
225,51.499999999999986,Single,920.0,5800.0
228,52.999999999999986,Single,950.0,5800.0
231,54.499999999999986,Single,980.0,5800.0
234,55.999999999999986,Single,1010.0,5800.0
237,55.0,Off,980.0,5800.0
240,53.9,Off,950.0,5800.0
243,52.8,Off,920.0,5800.0
246,51.699999999999996,Off,890.0,5800.0
249,50.599999999999994,Off,860.0,5800.0
252,49.49999999999999,Off,830.0,5800.0
255,48.39999999999999,Off,800.0,5800.0
258,47.29999999999999,Off,770.0,5800.0
261,46.19999999999999,Off,740.0,5800.0
264,45.09999999999999,Off,710.0,5800.0
267,43.999999999999986,Single,740.0,5800.0
270,45.499999999999986,Single,770.0,5800.0
