Time (min),Pressure (psi),Flow Rate (GPM)
0.0,60.0,80.0
2.5,41.25,80.0
5.0,22.5,80.0
7.5,25.83,20.0
10.0,19.17,20.0
15.0,5.85,0.0
17.5,-0.81,0.0
20.0,-7.47,0.0
22.5,-14.13,0.0
25.0,-20.8,0.0
27.5,-27.46,0.0
30.0,-34.12,0.0
32.5,-40.78,0.0
35.0,-47.44,0.0
37.5,-54.1,0.0
40.0,-60.76,0.0
42.5,-67.42,0.0
45.0,-74.09,0.0
47.5,-80.75,0.0
50.0,-87.41,0.0
52.5,-94.07,0.0
55.0,-100.73,0.0
57.5,-107.39,0.0
60.0,-114.05,0.0
62.5,-120.71,0.0
65.0,-127.38,0.0
67.5,-134.04,0.0
70.0,-140.7,0.0
72.5,-147.36,0.0
75.0,-154.02,0.0
77.5,-160.68,0.0
80.0,-167.34,0.0
82.5,-174.0,0.0
85.0,-180.66,0.0
87.5,-187.33,0.0
90.0,-193.99,0.0
92.5,-200.65,0.0
95.0,-207.31,0.0
97.5,-213.97,0.0
100.0,-220.63,0.0
102.5,-227.29,0.0
105.0,-233.95,0.0
107.5,-240.62,0.0
110.0,-247.28,0.0
112.5,-253.94,0.0
115.0,-260.6,0.0
117.5,-267.26,0.0
120.0,-273.92,0.0
