Time (min),System Pressure (psi),Booster Mode,Pressure Tank Volume (gal),Storage Tank Volume (gal)
0,60.0,Off,980.0,5800.0
3,58.9,Off,680.0,5800.0
6,57.8,Off,380.0,5800.0
9,56.699999999999996,Off,80.0,5800.0
12,55.599999999999994,Off,0.0,5580.0
15,54.49999999999999,Off,0.0,5280.0
18,53.39999999999999,Off,0.0,4980.0
21,52.29999999999999,Off,0.0,4680.0
24,51.19999999999999,Off,0.0,4380.0
27,50.09999999999999,Off,0.0,4080.0
30,48.999999999999986,Off,0.0,3780.0
33,47.899999999999984,Off,0.0,3480.0
36,46.79999999999998,Off,0.0,3180.0
39,45.69999999999998,Off,0.0,2880.0
42,44.59999999999998,Single,0.0,2640.0
45,43.49999999999998,Single,0.0,2400.0
48,42.39999999999998,Single,0.0,2160.0
51,41.299999999999976,Single,0.0,1920.0
54,40.199999999999974,Single,0.0,1680.0
57,39.09999999999997,Dual,0.0,1500.0
60,37.99999999999997,Dual,0.0,1320.0
63,36.89999999999997,Dual,0.0,1140.0
66,35.79999999999997,Dual,0.0,960.0
69,34.69999999999997,Dual,0.0,780.0
72,33.599999999999966,Dual,0.0,600.0
75,32.499999999999964,Dual,0.0,420.0
78,31.399999999999963,Dual,0.0,240.0
81,30.29999999999996,Dual,0.0,60.0
84,29.19999999999996,Dual,0.0,0.0
