Time (min),Pressure (psi),Flow Rate (GPM)
0.0,60.0,60.0
2.5,45.9375,60.0
5.0,31.875,60.0
7.5,31.625,20.0
10.0,27.18421052631579,20.0
12.5,22.743421052631582,20.0
15.0,18.30263157894737,20.0
20.0,18.30263157894737,0.0
22.5,18.30263157894737,0.0
25.0,18.30263157894737,0.0
27.5,18.30263157894737,0.0
30.0,18.30263157894737,0.0
32.5,18.30263157894737,0.0
35.0,18.30263157894737,0.0
37.5,18.30263157894737,0.0
40.0,18.30263157894737,0.0
42.5,18.30263157894737,0.0
45.0,18.30263157894737,0.0
47.5,18.30263157894737,0.0
50.0,18.30263157894737,0.0
52.5,60.0,0.0
55.0,-249.375,60.0
60.0,-249.375,0.0
62.5,-249.375,0.0
65.0,-249.375,0.0
67.5,-249.375,0.0
70.0,-249.375,0.0
72.5,-249.375,0.0
75.0,-249.375,0.0
77.5,-249.375,0.0
80.0,-249.375,0.0
82.5,-249.375,0.0
85.0,-249.375,0.0
87.5,-249.375,0.0
90.0,-249.375,0.0
92.5,-249.375,0.0
95.0,-249.375,0.0
97.5,-249.375,0.0
100.0,-249.375,0.0
102.5,-249.375,0.0
105.0,-249.375,0.0
107.5,-249.375,0.0
110.0,-249.375,0.0
112.5,-249.375,0.0
115.0,-249.375,0.0
117.5,-249.375,0.0
120.0,-249.375,0.0
