type,old_id,new_id
NODE,Junction-1,Junction-1
NODE,Junction-10,Junction-10
NODE,Junction-11,Junction-11
NODE,Junction-12,Junction-12
NODE,Junction-13,Junction-13
NODE,Junction-14,Junction-14
NODE,Junction-15,Junction-15
NODE,Junction-16,Junction-16
NODE,Junction-17,Junction-17
NODE,Junction-18,Junction-18
NODE,Junction-19,Junction-19
NODE,Junction-2,Junction-2
NODE,Junction-20,Junction-20
NODE,Junction-21,Junction-21
NODE,Junction-22,Junction-22
NODE,Junction-23,Junction-23
NODE,Junction-24,Junction-24
NODE,Junction-25,Junction-25
NODE,Junction-26,Junction-26
NODE,Junction-27,Junction-27
NODE,Junction-28,Junction-28
NODE,Junction-29,Junction-29
NODE,Junction-3,Junction-3
NODE,Junction-30,Junction-30
NODE,Junction-31,Junction-31
NODE,Junction-32,Junction-32
NODE,Junction-33,Junction-33
NODE,Junction-34,Junction-34
NODE,Junction-35,Junction-35
NODE,Junction-36,Junction-36
NODE,Junction-37,Junction-37
NODE,Junction-38,Junction-38
NODE,Junction-39,Junction-39
NODE,Junction-4,Junction-4
NODE,Junction-40,Junction-40
NODE,Junction-41,Junction-41
NODE,Junction-42,Junction-42
NODE,Junction-43,Junction-43
NODE,Junction-44,Junction-44
NODE,Junction-45,Junction-45
NODE,Junction-46,Junction-46
NODE,Junction-47,Junction-47
NODE,Junction-48,Junction-48
NODE,Junction-49,Junction-49
NODE,Junction-5,Junction-5
NODE,Junction-50,Junction-50
NODE,Junction-51,Junction-51
NODE,Junction-52,Junction-52
NODE,Junction-53,Junction-53
NODE,Junction-54,Junction-54
NODE,Junction-55,Junction-55
NODE,Junction-56,Junction-56
NODE,Junction-57,Junction-57
NODE,Junction-58,Junction-58
NODE,Junction-59,Junction-59
NODE,Junction-6,Junction-6
NODE,Junction-60,Junction-60
NODE,Junction-61,Junction-61
NODE,Junction-62,Junction-62
NODE,Junction-63,Junction-63
NODE,Junction-64,Junction-64
NODE,Junction-65,Junction-65
NODE,Junction-66,Junction-66
NODE,Junction-67,Junction-67
NODE,Junction-68,Junction-68
NODE,Junction-69,Junction-69
NODE,Junction-7,Junction-7
NODE,Junction-70,Junction-70
NODE,Junction-71,Junction-71
NODE,Junction-72,Junction-72
NODE,Junction-73,Junction-73
NODE,Junction-74,Junction-74
NODE,Junction-75,Junction-75
NODE,Junction-76,Junction-76
NODE,Junction-77,Junction-77
NODE,Junction-78,Junction-78
NODE,Junction-79,Junction-79
NODE,Junction-8,Junction-8
NODE,Junction-80,Junction-80
NODE,Junction-9,Junction-9
NODE,Reservoir-1,Reservoir-1
NODE,Tank-1,Tank-1
LINK,Pipe-1,Pipe-1
LINK,Pipe-10,Pipe-10
LINK,Pipe-11,Pipe-11
LINK,Pipe-12,Pipe-12
LINK,Pipe-13,Pipe-13
LINK,Pipe-14,Pipe-14
LINK,Pipe-15,Pipe-15
LINK,Pipe-16,Pipe-16
LINK,Pipe-17,Pipe-17
LINK,Pipe-18,Pipe-18
LINK,Pipe-19,Pipe-19
LINK,Pipe-2,Pipe-2
LINK,Pipe-20,Pipe-20
LINK,Pipe-21,Pipe-21
LINK,Pipe-22,Pipe-22
LINK,Pipe-23,Pipe-23
LINK,Pipe-24,Pipe-24
LINK,Pipe-25,Pipe-25
LINK,Pipe-26,Pipe-26
LINK,Pipe-27,Pipe-27
LINK,Pipe-28,Pipe-28
LINK,Pipe-29,Pipe-29
LINK,Pipe-3,Pipe-3
LINK,Pipe-30,Pipe-30
LINK,Pipe-31,Pipe-31
LINK,Pipe-32,Pipe-32
LINK,Pipe-33,Pipe-33
LINK,Pipe-34,Pipe-34
