NodeID,Type,Elevation_ft,BaseDemand_gpm,Pattern,X,Y,InitLevel_ft,MinLevel_ft,MaxLevel_ft,,,x,y,z,,,
J_RES1_T1,Reservoir,0,20,DailyUse,560,750,,,,,,418.75,56.26,-5,544.375,73.138,-6.5
J_T1_M1,Tank,0,20,DailyUse,562,748,7.71,3,7.71,,,418.8,71.875,-8,544.44,93.4375,-10.4
J_JT1_SUC,Tank,0.5,20,DailyUse,564,746,9 08,3.2,9.08,,,418.8,75.25,-10,544.44,97.825,-13
BJ1,Booster Pump,1,20,DailyUse,560,750,,,,,,418.8,81.25,-10,544.44,105.625,-13
J_DIS_M1,Booster Pump,1,20,DailyUse,560,750,,,,,,418.8,81.25,-10,,,
J_SNT1_60_100,Junction,1,20,DailyUse,565,746,,,,,,0,,,,,
V1,Junction,1,20,DailyUse,566,746,,,,,,0,,,,,
J_SNT1_160_200,Junction,1,20,DailyUse,560,750,,,,,,0,,,,,
V2,Junction,,20,DailyUse,562,748,,,,,,0,,,,,
J_SNT1_360_445,Junction,0,20,DailyUse,560,750,,,,,,0,,,,,
J_SNT1_445_CNT1,Junction,0,20,DailyUse,562,748,,,,,,0,,,,,
J_SNT1_445_500,Junction,0,20,DailyUse,564,0,,,,,,0,,,,,
J_SNT1_500_CNT2,Junction,,20,DailyUse,,,,,,,,0,,,,,
J_SNT1_500_555,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_555_CNT3,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_555_610,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_610_CNT4,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_610_655,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_655_BEND,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_BEND_655_675,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_675_CNT5,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_675_715,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_715_CNT6,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_715_765,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_765_CNT7,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
J_SNT1_765_845,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
V3,Junction,0,20,DailyUse,0,0,,,,,,0,,,,,
