Los Botines Vaquero Village - Water System Analysis
 Time Series Plot - Pressure for Selected Nodes
Series          	Time (hours)    	Pressure (psi)  
Node J_BP1_DIS  	0.0000          	57.7808         
Node J_BP1_DIS  	0.0333          	60.5806         
Node J_BP1_DIS  	0.0667          	58.5594         
Node J_BP1_DIS  	0.1000          	56.3733         
Node J_BP1_DIS  	0.1333          	63.2594         
Node J_BP1_DIS  	0.1667          	59.8428         
Node J_BP1_DIS  	0.2000          	58.2400         
Node J_BP1_DIS  	0.2333          	57.9587         
Node J_BP1_DIS  	0.2667          	57.7855         
Node J_BP1_DIS  	0.3000          	57.6699         
Node J_BP1_DIS  	0.3333          	57.4625         
Node J_BP1_DIS  	0.3667          	57.3689         
Node J_BP1_DIS  	0.4000          	57.1757         
Node J_BP1_DIS  	0.4333          	56.9839         
Node J_BP1_DIS  	0.4667          	56.7954         
Node J_BP1_DIS  	0.5000          	56.6149         
Node J_BP1_DIS  	0.5333          	56.4463         
Node J_BP1_DIS  	0.5667          	56.2929         
Node J_BP1_DIS  	0.6000          	56.1574         
Node J_BP1_DIS  	0.6333          	55.9226         
Node J_BP1_DIS  	0.6667          	55.6720         
Node J_BP1_DIS  	0.7000          	55.1923         
Node J_BP1_DIS  	0.7333          	55.2333         
Node J_BP1_DIS  	0.7667          	55.1863         
Node J_BP1_DIS  	0.8000          	54.8743         
Node J_BP1_DIS  	0.8333          	55.9210         
Node J_BP1_DIS  	0.8667          	55.3530         
Node J_BP1_DIS  	0.9000          	54.9165         
Node J_BP1_DIS  	0.9333          	54.3984         
Node J_BP1_DIS  	0.9667          	55.5215         
Node J_BP1_DIS  	1.0000          	54.6782         
Node J_BP1_DIS  	1.0333          	53.9889         
Node J_BP1_DIS  	1.0667          	53.7798         
Node J_BP1_DIS  	1.1000          	54.0689         
Node J_BP1_DIS  	1.1333          	54.4667         
Node J_BP1_DIS  	1.1667          	54.0498         
Node J_BP1_DIS  	1.2000          	53.5570         
Node J_BP1_DIS  	1.2333          	54.8285         
Node J_BP1_DIS  	1.2667          	53.6552         
Node J_BP1_DIS  	1.3000          	53.2791         
Node J_BP1_DIS  	1.3333          	54.0451         
Node J_BP1_DIS  	1.3667          	52.8927         
Node J_BP1_DIS  	1.4000          	52.8330         
Node J_BP1_DIS  	1.4333          	52.8222         
Node J_BP1_DIS  	1.4667          	55.0782         
Node J_BP1_DIS  	1.5000          	54.9137         
Node J_BP1_DIS  	1.5333          	53.8471         
Node J_BP1_DIS  	1.5667          	53.2517         
Node J_BP1_DIS  	1.6000          	54.7067         
Node J_BP1_DIS  	1.6333          	53.2245         
Node J_BP1_DIS  	1.6667          	52.9590         
Node J_BP1_DIS  	1.7000          	52.4695         
Node J_BP1_DIS  	1.7333          	57.0643         
Node J_BP1_DIS  	1.7667          	56.7603         
Node J_BP1_DIS  	1.8000          	49.9740         
Node J_BP1_DIS  	1.8333          	57.0867         
Node J_BP1_DIS  	1.8667          	49.5309         
Node J_BP1_DIS  	1.9000          	57.3643         
Node J_BP1_DIS  	1.9333          	49.5108         
Node J_BP1_DIS  	1.9667          	58.3070         
Node J_BP1_DIS  	2.0000          	56.3297         
Node J_CNT36    	0.0000          	57.4731         
Node J_CNT36    	0.0333          	57.2659         
Node J_CNT36    	0.0667          	56.1277         
Node J_CNT36    	0.1000          	54.9413         
Node J_CNT36    	0.1333          	62.9261         
Node J_CNT36    	0.1667          	60.6268         
Node J_CNT36    	0.2000          	61.2039         
Node J_CNT36    	0.2333          	62.0102         
Node J_CNT36    	0.2667          	61.7682         
Node J_CNT36    	0.3000          	61.5991         
