Los Botines Vaquero Village - Water System Analysis
 Time Series Plot - Pressure for Node J_BP1_DIS
Series          	Time (hours)    	Pressure (psi)  
Computed        	0.0000          	57.7808         
Computed        	0.0333          	59.9737         
Computed        	0.0667          	56.3066         
Computed        	0.1000          	59.7952         
Computed        	0.1333          	57.7191         
Computed        	0.1667          	55.0279         
Computed        	0.2000          	54.7061         
Computed        	0.2333          	54.1312         
Computed        	0.2667          	54.0732         
Computed        	0.3000          	53.0584         
Computed        	0.3333          	54.9970         
Computed        	0.3667          	51.8193         
Computed        	0.4000          	51.9416         
Computed        	0.4333          	51.1509         
Computed        	0.4667          	54.5420         
Computed        	0.5000          	52.5607         
Computed        	0.5333          	50.8097         
Computed        	0.5667          	52.3072         
Computed        	0.6000          	49.8078         
Computed        	0.6333          	49.4348         
Computed        	0.6667          	51.3829         
Computed        	0.7000          	49.8234         
Computed        	0.7333          	48.8189         
Computed        	0.7667          	48.2346         
Computed        	0.8000          	49.6103         
Computed        	0.8333          	48.8008         
Computed        	0.8667          	47.8458         
Computed        	0.9000          	47.3210         
Computed        	0.9333          	49.1324         
Computed        	0.9667          	48.3224         
Computed        	1.0000          	47.3466         
Computed        	1.0333          	46.8485         
Computed        	1.0667          	48.8204         
Computed        	1.1000          	47.8240         
Computed        	1.1333          	46.8553         
Computed        	1.1667          	46.4265         
Computed        	1.2000          	48.5066         
Computed        	1.2333          	47.2762         
Computed        	1.2667          	46.2854         
Computed        	1.3000          	45.9780         
Computed        	1.3333          	47.9938         
Computed        	1.3667          	45.8617         
Computed        	1.4000          	45.8964         
Computed        	1.4333          	44.9827         
Computed        	1.4667          	47.4311         
Computed        	1.5000          	45.6709         
Computed        	1.5333          	45.3533         
Computed        	1.5667          	44.5910         
Computed        	1.6000          	47.1731         
Computed        	1.6333          	45.0506         
Computed        	1.6667          	45.3875         
Computed        	1.7000          	44.1224         
Computed        	1.7333          	46.6124         
Computed        	1.7667          	43.9830         
Computed        	1.8000          	45.6504         
Computed        	1.8333          	43.1585         
Computed        	1.8667          	45.9426         
Computed        	1.9000          	43.2048         
Computed        	1.9333          	40.8092         
Computed        	1.9667          	48.3793         
Computed        	2.0000          	43.5055         
