Los Botines Vaquero Village - Water System Analysis
 Time Series Plot - Pressure for Node J_CNT80
Series          	Time (hours)    	Pressure (psi)  
Computed        	0.0000          	53.5207         
Computed        	0.0333          	51.9555         
Computed        	0.0667          	49.8810         
Computed        	0.1000          	55.4934         
Computed        	0.1333          	53.9083         
Computed        	0.1667          	51.9982         
Computed        	0.2000          	50.3509         
Computed        	0.2333          	44.0347         
Computed        	0.2667          	51.2338         
Computed        	0.3000          	45.6704         
Computed        	0.3333          	55.2030         
Computed        	0.3667          	46.6343         
Computed        	0.4000          	39.2471         
Computed        	0.4333          	44.8564         
Computed        	0.4667          	57.3051         
Computed        	0.5000          	53.6613         
Computed        	0.5333          	43.9308         
Computed        	0.5667          	52.7149         
Computed        	0.6000          	40.3527         
Computed        	0.6333          	39.7290         
Computed        	0.6667          	59.1370         
Computed        	0.7000          	48.6774         
Computed        	0.7333          	34.3480         
Computed        	0.7667          	34.0256         
Computed        	0.8000          	52.6092         
Computed        	0.8333          	47.1607         
Computed        	0.8667          	29.9910         
Computed        	0.9000          	32.5573         
Computed        	0.9333          	51.7402         
Computed        	0.9667          	46.5371         
Computed        	1.0000          	27.8010         
Computed        	1.0333          	32.1740         
Computed        	1.0667          	52.0772         
Computed        	1.1000          	45.7563         
Computed        	1.1333          	25.0957         
Computed        	1.1667          	31.8358         
Computed        	1.2000          	52.8249         
Computed        	1.2333          	44.8725         
Computed        	1.2667          	21.2936         
Computed        	1.3000          	31.8912         
Computed        	1.3333          	56.5176         
Computed        	1.3667          	41.9101         
Computed        	1.4000          	24.5760         
Computed        	1.4333          	29.7119         
Computed        	1.4667          	53.8955         
Computed        	1.5000          	42.2635         
Computed        	1.5333          	23.0880         
Computed        	1.5667          	29.5550         
Computed        	1.6000          	54.7167         
Computed        	1.6333          	40.9174         
Computed        	1.6667          	25.8152         
Computed        	1.7000          	28.5602         
Computed        	1.7333          	55.9555         
Computed        	1.7667          	39.0900         
Computed        	1.8000          	30.7691         
Computed        	1.8333          	27.0943         
Computed        	1.8667          	56.7946         
Computed        	1.9000          	36.6481         
Computed        	1.9333          	29.6255         
Computed        	1.9667          	57.8597         
Computed        	2.0000          	35.1514         
