Los Botines Vaquero Village - Water System Analysis
 Time Series Plot - Pressure for Node J_CNT41
Series          	Time (hours)    	Pressure (psi)  
Computed        	0.0000          	55.3688         
Computed        	0.0333          	53.8037         
Computed        	0.0667          	51.7292         
Computed        	0.1000          	57.3415         
Computed        	0.1333          	55.7565         
Computed        	0.1667          	53.8464         
Computed        	0.2000          	52.1991         
Computed        	0.2333          	45.8828         
Computed        	0.2667          	53.0820         
Computed        	0.3000          	47.5186         
Computed        	0.3333          	57.0512         
Computed        	0.3667          	48.4824         
Computed        	0.4000          	41.0952         
Computed        	0.4333          	46.7046         
Computed        	0.4667          	59.1532         
Computed        	0.5000          	55.5095         
Computed        	0.5333          	45.7790         
Computed        	0.5667          	54.5631         
Computed        	0.6000          	42.2008         
Computed        	0.6333          	41.5772         
Computed        	0.6667          	60.9852         
Computed        	0.7000          	50.5256         
Computed        	0.7333          	36.1961         
Computed        	0.7667          	35.8737         
Computed        	0.8000          	54.4574         
Computed        	0.8333          	49.0089         
Computed        	0.8667          	31.8391         
Computed        	0.9000          	34.4054         
Computed        	0.9333          	53.5883         
Computed        	0.9667          	48.3852         
Computed        	1.0000          	29.6492         
Computed        	1.0333          	34.0221         
Computed        	1.0667          	53.9254         
Computed        	1.1000          	47.6045         
Computed        	1.1333          	26.9438         
Computed        	1.1667          	33.6840         
Computed        	1.2000          	54.6730         
Computed        	1.2333          	46.7206         
Computed        	1.2667          	23.1418         
Computed        	1.3000          	33.7393         
Computed        	1.3333          	58.3658         
Computed        	1.3667          	43.7583         
Computed        	1.4000          	26.4241         
Computed        	1.4333          	31.5601         
Computed        	1.4667          	55.7437         
Computed        	1.5000          	44.1117         
Computed        	1.5333          	24.9361         
Computed        	1.5667          	31.4031         
Computed        	1.6000          	56.5648         
Computed        	1.6333          	42.7656         
Computed        	1.6667          	27.6634         
Computed        	1.7000          	30.4084         
Computed        	1.7333          	57.8037         
Computed        	1.7667          	40.9381         
Computed        	1.8000          	32.6172         
Computed        	1.8333          	28.9425         
Computed        	1.8667          	58.6428         
Computed        	1.9000          	38.4963         
Computed        	1.9333          	31.4737         
Computed        	1.9667          	59.7079         
Computed        	2.0000          	36.9995         
